civil_twilight,date,end_temp,end_time,females_assisted_down,females_assisted_up,females_unassisted_down,females_unassisted_up,frogs_down,frogs_up,harborton_zone_2-_corner_to_guardrail/_90°_turn,hours_monitored,juveniles_assisted_up,males_assisted_down,males_assisted_up,males_unassisted_down,males_unassisted_up,monitored_(y/n),notes,roadkills_female,roadkills_male,roadkills_unk,sheet_name,source_file,start_temp,start_time,sunset,team_hours,total_assisted,total_frogs_assisted_down,total_frogs_assisted_up,total_frogs_down,total_frogs_up,total_live_frogs,unassisted_females_down,unassisted_females_up,unassisted_males_down,unassisted_males_up,weather
1828.0,2020-03-01 00:00:00,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,N,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,43.0,,1759.0,,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,Dry
1830.0,2020-03-02 00:00:00,47.0,07:25:00,0.0,0.0,,,,,,0.9166666667,0.0,0.0,0.0,,,Y,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,47.0,06:30:00,1800.0,,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,Dry
1831.0,2020-03-03 00:00:00,50.5,19:45:00,0.0,1.0,,,,,,1.75,0.0,0.0,2.0,,,y,"1 psre roadkill.  loud, pleasant chorus, raau roadkill: gravid female on Harborton going down.",1.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,56.2,18:00:00,1801.0,4.5,,0.0,3.0,0,3,,0.0,0.0,0.0,0.0,dry
1832.0,2020-03-04 00:00:00,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,N,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,43.0,18:20:00,1803.0,,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,Dry & clear
1834.0,2020-03-05 00:00:00,52.0,19:00:00,0.0,0.0,,,,,,0.5,0.0,0.0,0.0,,,Y,"Rain in middle of the night.  Rob counted 2 roadkill Friday AM: 1 on hwy. & 1 on Harborton, which speaks to migration before Fri. dawn",0.0,0.0,2.0,March 2020,frog_log_2019_20.xlsx,53.0,18:30:00,1804.0,0.5,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,"Dry, hi clouds. Lite rain after midnite?"
1835.0,2020-03-06 00:00:00,42.0,20:00:00,0.0,0.0,,,,,,3.0,0.0,0.0,2.0,,,Y,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,45.0,17:00:00,1805.0,14.5,,0.0,2.0,0,2,,0.0,0.0,0.0,0.0,"Wet pvmnt, misty rain"
1836.0,2020-03-07 00:00:00,39.0,19:15:00,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,,N,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,41.0,18:15:00,1807.0,,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,"wet pavement, clearing"
1938.0,2020-03-08 00:00:00,40.0,21:00:00,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,N,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,40.0,21:00:00,1908.0,0.0,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,dry
1939.0,2020-03-09 00:00:00,43.0,20:45:00,0.0,0.0,,,,,,0.5,0.0,0.0,0.0,,,Y,Super moon inspired frogs on a dry night? Nope.,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,44.0,20:15:00,1909.0,0.5,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,clear and dry
1940.0,2020-03-10 00:00:00,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,March 2020,frog_log_2019_20.xlsx,,,1911.0,,,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,
